Color Name,Rebrickable Color ID,Sample Element ID,Part Num
Black,0,300226,3002
Blue,1,300223,3002
Green,2,300228,3002
Red,4,300221,3002
Dark Pink,5,4227937,3002
Brown,6,300225,3002
Light Gray,7,300202,3002
Dark Gray,8,300227,3002
Bright Green,10,4177579,3002
Yellow,14,300224,3002
White,15,300201,3002
Light Yellow,18,4119675,3002
Tan,19,300205,3002
Purple,22,4133553,3002
Orange,25,4125971,3002
Magenta,26,4247226,3002
Lime,27,4122452,3002
Dark Tan,28,4497067,3002
Bright Pink,29,4245293,3002
Medium Lavender,30,N/A,3002
Lavender,31,N/A,3002
Trans-Green,34,4638790,3002
Trans-Yellow,46,4638795,3002
Trans-Clear,47,300210,3002
Very Light Orange,68,4130329,3002
Reddish Brown,70,4216668,3002
Light Bluish Gray,71,4211386,3002
Dark Bluish Gray,72,4211105,3002
Medium Blue,73,4210130,3002
Light Nougat,78,4496971,3002
Dark Purple,85,4235123,3002
Light Brown,86,4497001,3002
Nougat,92,4497028,3002
Medium Bluish Violet,112,4130310,3002
Pearl Light Gray,135,4133531,3002
Yellowish Green,158,6088539,3002
Flat Silver,179,6015496,3002
Bright Light Orange,191,4490698,3002
Bright Light Blue,212,6014085,3002
Dark Blue,272,6385309,3002
Dark Green,288,4271437,3002
Dark Brown,308,N/A,3002
Dark Red,320,4163453,3002
Dark Azure,321,6089844,3002
Medium Azure,322,N/A,3002
Olive Green,326,6031136,3002
Medium Dark Pink,351,4130301,3002
Sand Green,378,4153757,3002
Sand Blue,379,4170245,3002
Medium Orange,462,4130352,3002
Dark Orange,484,4122461,3002
Pastel Blue,1051,300211,3002
Warm Yellowish Orange,1091,4243871,3002
Dark Turquoise,3,4121704,3023
Pink,13,302309,3023
Trans-Dark Blue,33,4101694,3023
Trans-Bright Green,35,6088652,3023
Trans-Red,36,4101688,3023
Trans-Brown,40,4173662,3023
Trans-Light Blue,41,302342,3023
Trans-Neon Green,42,4101752,3023
Trans-Dark Pink,45,6172369,3023
Trans-Purple,52,6088636,3023
Trans-Neon Orange,57,4185109,3023
Light Pink,77,302317,3023
Medium Nougat,84,4645055,3023
Aqua,118,4212983,3023
Trans-Medium Blue,143,6121436,3023
Very Light Bluish Gray,151,4569780,3023
Trans-Orange,182,4262667,3023
Bright Light Yellow,226,6014509,3023
Sky Blue,232,4493568,3023
Pearl Gold,297,6218047,3023
Maersk Blue,313,N/A,3023
Light Aqua,323,6015054,3023
Sand Red,335,4188133,3023
Glow in Dark White,1000,6331687,3023
Coral,1050,6258094,3023
Vibrant Yellow,1062,6382324,3023
Warm Tan,1089,6445942,3023
Trans-Black,1095,6471727,3023
Pearl Titanium,1103,6075611,3023
Reddish Orange,1136,6466720,3023
Dark Blue-Violet,23,4243774,3710
